CardID	balance	type	type	oldCardID
1	1.24	2020-05-07	Adult	\N
2	0	2022-06-20	Adult	\N
3	0	2019-10-01	Senior	\N
4	0	2021-06-17	Adult	\N
5	0.23	2019-04-17	Student	\N
6	0	2021-11-13	Adult	\N
7	163.43	2021-05-23	Adult	\N
8	0	2022-09-30	Adult	\N
9	123.2	2022-08-29	Adult	\N
10	38.4	2022-11-24	Student	\N
11	0	2021-12-23	Student	\N
12	0	2020-07-03	Adult	1
13	122.76	2021-09-26	Adult	\N
14	4.63	2022-12-02	Senior	\N
15	0	2021-12-12	Adult	\N
16	33.69	2022-11-22	Senior	\N
17	47.57	2022-12-23	Student	\N
18	135.68	2022-07-08	Adult	\N
19	12	2022-10-03	Adult	\N
20	33.6	2022-11-28	Senior	\N
21	0	2022-10-30	Student	\N
22	43.57	2021-12-29	Adult	\N
23	0	2022-06-23	Senior	\N
24	8.12	2022-04-04	Adult	\N
25	0	2022-01-10	Student	\N
26	13.41	2022-05-10	Adult	\N
27	0	2021-11-05	Adult	\N
28	8.01	2022-06-14	Adult	\N
29	0	2022-01-07	Student	\N
30	83.62	2022-07-31	Senior	\N
31	0	2022-09-19	Adult	\N
32	0.12	2022-10-03	Adult	\N
33	26.11	2022-11-24	Adult	\N
34	0	2022-11-27	Student	\N
35	5.49	2022-12-10	Adult	\N
36	0	2021-09-17	Senior	\N
37	167.96	2022-12-22	Adult	\N
38	67.98	2022-12-25	Adult	\N
39	102.04	2022-12-25	Adult	\N
40	15.8	2022-12-25	Adult	\N
41	27.33	2022-12-25	Student	\N
42	157.44	2022-01-01	Student	\N
43	0	2022-01-10	Adult	\N
44	8.74	2022-01-15	Adult	\N
45	94.22	2022-03-03	Student	\N
46	0.83	2022-03-21	Adult	\N
47	0	2022-03-23	Student	\N
48	29.06	2022-05-12	Adult	\N
49	0.51	2020-06-25	Senior	3
50	0	2021-12-08	Adult	\N
51	56.18	2022-08-29	Student	\N
52	43.38	2022-09-19	Adult	\N
53	123.4	2022-09-22	Adult	\N
54	115.66	2022-09-28	Senior	\N
55	26.27	2022-10-23	Adult	\N
56	0	2023-07-12	Adult	6
57	72.69	2022-11-05	Adult	\N
58	26.78	2022-11-11	Adult	\N
59	24.94	2022-12-22	Student	11
60	99.53	2021-08-07	Adult	12
61	60.71	2021-01-11	Adult	\N
62	42.56	2021-04-07	Adult	\N
63	0	2022-04-24	Student	\N
64	180.27	2021-05-09	Senior	\N
65	0	2023-05-15	Student	\N
66	168.47	2020-05-17	Senior	\N
67	0	2024-05-29	Adult	27
68	5.22	2019-05-31	Adult	\N
69	61.18	2023-06-16	Student	\N
70	3.91	2024-06-16	Student	29
71	139.75	2023-06-22	Adult	\N
72	30.51	2023-07-30	Adult	\N
73	9.54	2023-08-21	Adult	\N
74	19	2023-09-19	Senior	\N
75	0	2023-10-08	Student	\N
76	44.77	2023-10-19	Student	\N
77	11.59	2024-11-15	Adult	50
78	0	2023-11-26	Student	\N
79	48.13	2023-02-11	Senior	\N
80	73.05	2023-02-15	Adult	\N
81	11.62	2023-02-16	Adult	\N
82	106.97	2023-02-26	Senior	\N
83	0	2023-03-28	Student	\N
84	85.18	2024-04-28	Adult	43
85	62.78	2023-05-09	Adult	\N
86	194.28	2023-05-09	Adult	\N
87	0	2023-06-05	Student	\N
88	5.33	2023-06-20	Senior	\N
89	0	2024-07-09	Senior	36
90	183.3	2024-07-18	Student	25
91	22.21	2023-07-25	Adult	\N
92	0	2023-09-04	Adult	\N
93	0.53	2023-09-14	Adult	\N
94	58.13	2023-12-03	Adult	\N
95	0	2023-12-04	Student	\N
96	32.73	2023-12-06	Adult	15
97	0	2023-12-09	Student	\N
98	141.14	2022-06-16	Adult	4
99	78.81	2023-01-07	Adult	\N
100	0	2023-01-12	Student	\N
101	101.83	2023-01-29	Student	\N
102	38.88	2023-02-07	Adult	\N
103	107.37	2024-03-10	Student	34
104	0	2023-03-19	Adult	\N
105	70.5	2023-04-17	Student	\N
106	0.04	2025-07-02	Student	78
107	15.28	2023-07-03	Student	\N
108	8.94	2023-07-17	Student	\N
109	163.24	2023-08-05	Senior	\N
110	23.97	2023-08-21	Adult	\N
111	0.27	2025-09-03	Student	75
112	6.11	2023-09-24	Adult	\N
113	78.28	2023-10-06	Senior	\N
114	38.44	2023-10-12	Student	63
115	198.12	2023-11-24	Student	\N
